;cluster;Latitude;Longitude
965;24;48.086;11.632
966;-1;50.058;9.078
967;17;50.822;4.324
968;-1;51.612;7.21
969;-1;54.456;9.752
970;-1;42.672;23.31
971;-1;57.39;-2.468
972;19;53.204;6.502
973;36;54.172115;18.54342
974;24;48.41;11.468
975;24;48.26;10.988
976;-1;42.738;23.272
977;28;51.128;14.178
978;17;50.792;4.352
979;8;51.374;6.594
980;43;51.698;-0.292
981;-1;56.964;-2.212
982;-1;44.444;26.099
983;23;53.046;10.512
984;17;50.802;4.35
985;10;51.492;5.468
986;-1;48.118;9.992
987;-1;48.489;9.211
988;-1;51.818;19.422
989;2;49.234;8.696
990;-1;48.86;9.624
991;-1;51.22;3.202
992;-1;43.722;7.256
993;-1;57.11;-2.24
994;17;50.842;4.386
995;-1;46.924;7.114
996;-1;50.434;30.432
997;17;50.86;4.334
998;21;52.044;8.716
999;32;48.19;16.358
1000;-1;48.511;9.06
1001;-1;57.164;-2.12
1002;-1;53.816;8.902
1003;-1;50.152;8.2
1004;-1;50.562;8.504
1005;34;51.33;19.378
1006;17;50.818;4.382
1007;-1;53.368;14.658
1008;37;52.052;20.43
1009;29;52.39;13.028
1010;31;47.03;15.396
1011;41;42.078;24.588
1012;27;51.31;12.368
1013;-1;50.724;7.07
1014;1;49.024;8.246
1015;-1;45.494;12.142
1016;-1;57.51;-1.84
1017;43;50.79;0.298
1018;-1;57.158;-2.106
1019;34;50.058;18.43
1020;7;51.094;7.03
1021;31;47.046;15.39
1022;23;53.694;9.91
1023;48;55.828;37.488
1024;17;50.858;4.384
1025;37;52.366;20.78
1026;0;48.778;9.208
1027;-1;50.834;6.752
1028;0;48.771;9.157
1029;-1;42.726;23.268
1030;41;41.942;24.22
1031;-1;42.646;23.4
1032;-1;43.344;26.226
1033;41;42.416;25.014
1034;-1;55.61;12.1
1035;37;52.222;21.246
1036;35;51.134;16.8
1037;25;49.486;11.104
1038;4;47.738;9.118
1039;24;48.018;11.478
1040;7;50.976;7.002
1041;-1;52.144;5.674
1042;-1;43.334;21.918
1043;-1;44.858;10.374
1044;17;50.856;4.38
1045;29;52.512;13.449
1046;17;50.86;4.298
1047;-1;51.514;7.08
1048;-1;48.648;9.432
1049;-1;57.172;-2.134
1050;23;54.326;10.184
1051;-1;51.612;7.51
1052;17;50.856;4.376
1053;29;52.46;13.437
1054;-1;51.198;4.468
1055;-1;50.39;8.072
1056;17;50.846;4.326
1057;-1;51.152;4.456
1058;13;51.936;5.9
